case_id,stl,mask,planes_with_intersection,planes_all_contours_closed,slicability_fraction,slicability_pass,mesh_bbox_diagonal_mm,centroid_offset_mm,centroid_offset_pct_of_diagonal,bbox_max_error_mm,mask_spacing_mm,alignment_pass,status
770,outputs/phase_b_mesh_qc/case_outputs/770/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/770/seg_mask_0.5.nii.gz,50,50,1.0,True,185.54072767941724,0.059438279932060606,0.03203516590425355,0.3000074625015259,0.6000 0.6000 0.6000,True,ok
771,outputs/phase_b_mesh_qc/case_outputs/771/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/771/seg_mask_0.5.nii.gz,47,47,1.0,True,212.01236775364183,0.11887893368409229,0.05607169758239269,0.30000507831573486,0.6000 0.6000 0.6000,True,ok
772,outputs/phase_b_mesh_qc/case_outputs/772/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/772/seg_mask_0.5.nii.gz,50,41,0.82,False,167.83304538407893,3.931609853674675,2.3425719557655347,0.30000197887420654,0.6000 0.6000 0.6000,True,ok
773,outputs/phase_b_mesh_qc/case_outputs/773/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/773/seg_mask_0.5.nii.gz,50,50,1.0,True,174.9388537780782,0.10643473228428905,0.06084110532661243,0.30000364780426025,0.6000 0.6000 0.6000,True,ok
774,outputs/phase_b_mesh_qc/case_outputs/774/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/774/seg_mask_0.5.nii.gz,50,50,1.0,True,172.29301726903356,0.14868144265012637,0.08629568685187167,0.30000340938568115,0.6000 0.6000 0.6000,True,ok
775,outputs/phase_b_mesh_qc/case_outputs/775/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/775/seg_mask_0.5.nii.gz,50,50,1.0,True,174.40402216166657,0.12209306316443154,0.07000587581131325,0.3000035285949707,0.6000 0.6000 0.6000,True,ok
776,outputs/phase_b_mesh_qc/case_outputs/776/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/776/seg_mask_0.5.nii.gz,50,48,0.96,False,168.38313865311815,0.09939106788408128,0.059026734315028015,0.3000025749206543,0.6000 0.6000 0.6000,True,ok
777,outputs/phase_b_mesh_qc/case_outputs/777/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/777/seg_mask_0.5.nii.gz,50,50,1.0,True,166.64237935439283,0.1470937093890024,0.08826908854690745,0.30000340938568115,0.6000 0.6000 0.6000,True,ok
778,outputs/phase_b_mesh_qc/case_outputs/778/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/778/seg_mask_0.5.nii.gz,47,47,1.0,True,164.26090008802967,0.1402392565287891,0.085375921143518,0.300006628036499,0.6000 0.6000 0.6000,True,ok
779,outputs/phase_b_mesh_qc/case_outputs/779/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/779/seg_mask_0.5.nii.gz,41,41,1.0,True,203.7545694442144,0.11383502163686691,0.05586869631801489,0.3000067472457886,0.6000 0.6000 0.6000,True,ok
780,outputs/phase_b_mesh_qc/case_outputs/780/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/780/seg_mask_0.5.nii.gz,50,50,1.0,True,177.6993083242722,0.12380508297519917,0.06967111135248491,0.30000340938568115,0.6000 0.6000 0.6000,True,ok
781,outputs/phase_b_mesh_qc/case_outputs/781/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/781/seg_mask_0.5.nii.gz,48,46,0.9583333333333334,False,167.49997568204347,0.1398667272539969,0.08350253585678047,0.30000531673431396,0.6000 0.6000 0.6000,True,ok
782,outputs/phase_b_mesh_qc/case_outputs/782/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/782/seg_mask_0.5.nii.gz,50,50,1.0,True,170.82834561428584,0.2414466598449056,0.1413387567365835,0.3000071048736572,0.6000 0.6000 0.6000,True,ok
783,outputs/phase_b_mesh_qc/case_outputs/783/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/783/seg_mask_0.5.nii.gz,50,40,0.8,False,157.58998531131655,0.12192178070019292,0.07736645222685842,0.30000460147857666,0.6000 0.6000 0.6000,True,ok
784,outputs/phase_b_mesh_qc/case_outputs/784/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/784/seg_mask_0.5.nii.gz,50,48,0.96,False,156.99491742405272,0.1349210151126975,0.08593973443628607,0.3000063896179199,0.6000 0.6000 0.6000,True,ok
785,outputs/phase_b_mesh_qc/case_outputs/785/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/785/seg_mask_0.5.nii.gz,48,48,1.0,True,150.44694101679124,0.07789366688064535,0.051774842581845316,0.300001859664917,0.6000 0.6000 0.6000,True,ok
786,outputs/phase_b_mesh_qc/case_outputs/786/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/786/seg_mask_0.5.nii.gz,50,36,0.72,False,161.02401709787466,4.625349439032444,2.87245935258281,0.3000071048736572,0.6000 0.6000 0.6000,True,ok
787,outputs/phase_b_mesh_qc/case_outputs/787/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/787/seg_mask_0.5.nii.gz,50,42,0.84,False,153.37601183718456,0.15165975382272076,0.0988810127516644,0.3000035285949707,0.6000 0.6000 0.6000,True,ok
788,outputs/phase_b_mesh_qc/case_outputs/788/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/788/seg_mask_0.5.nii.gz,50,49,0.98,False,178.54815321420986,0.136920675542413,0.07668557365482517,0.30000412464141846,0.6000 0.6000 0.6000,True,ok
789,outputs/phase_b_mesh_qc/case_outputs/789/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/789/seg_mask_0.5.nii.gz,46,44,0.9565217391304348,False,187.78082922200358,0.117483727371831,0.062564281912365,0.300006628036499,0.6000 0.6000 0.6000,True,ok
790,outputs/phase_b_mesh_qc/case_outputs/790/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/790/seg_mask_0.5.nii.gz,50,50,1.0,True,174.51132756059292,0.12754074115280337,0.07308450570838694,0.30000388622283936,0.6000 0.6000 0.6000,True,ok
791,outputs/phase_b_mesh_qc/case_outputs/791/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/791/seg_mask_0.5.nii.gz,50,50,1.0,True,171.7656676789657,0.14254513325509727,0.08298814028512243,0.30000412464141846,0.6000 0.6000 0.6000,True,ok
792,outputs/phase_b_mesh_qc/case_outputs/792/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/792/seg_mask_0.5.nii.gz,50,48,0.96,False,172.10380864691857,0.13395493921325036,0.07783380290442443,0.3000068664550781,0.6000 0.6000 0.6000,True,ok
793,outputs/phase_b_mesh_qc/case_outputs/793/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/793/seg_mask_0.5.nii.gz,50,49,0.98,False,151.3487390955264,0.20282267843612573,0.1340101540641912,0.3000013828277588,0.6000 0.6000 0.6000,True,ok
